Risk,Probability,Severity,Time Horizon,Primary Model Impact,Investor Interpretation
Regulatory fee pressure,Medium,High,Near/medium-term,Net revenue yield / terminal multiple,Most important multiple risk
Client incentives rising,Medium,High,Near/medium-term,Net revenue / margin,Key take-rate durability risk
Merchant litigation,High,Medium,Ongoing,Legal cost / multiple,Headline overhang
Debit routing pressure,Medium,Medium/High,Near/medium-term,Domestic debit economics,U.S. debit risk
Credit routing legislation,Low/Medium,High,Medium-term,Credit economics / multiple,Low probability high impact
Cross-border slowdown,Medium,Medium,Near-term,International revenue,Cyclical earnings risk
A2A adoption,Medium,Medium/High,Medium/long-term,Volume growth / take rate,Structural risk in selected use cases
Wallet steering,Medium,Medium,Medium-term,Funding mix / routing,Partner-threat dynamic
Stablecoin settlement,Low/Medium,Medium,Long-term,Cross-border / B2B,Emerging threat and opportunity
Cybersecurity / outage,Low,High,Any,Trust / legal cost / multiple,Low probability severe risk
Macro recession,Medium,Medium,Near-term,Volume / margin / multiple,Operating and valuation risk
