Metric,FY2023A,FY2024A,FY2025A
Net Revenue ($bn),32.653,35.926,40.0
Service Revenue ($bn),14.826,16.114,17.539
Data Processing Revenue ($bn),16.007,17.714,19.993
International Transaction Revenue ($bn),11.638,12.665,14.166
Other Revenue ($bn),2.479,3.197,4.053
Client Incentives ($bn),-12.297,-13.764,-15.751
Non-GAAP Operating Expense ($bn),10.481,11.609,12.906
Non-GAAP Net Income ($bn),18.28,20.389,22.542
Non-GAAP EPS,8.77,10.05,11.47
U.S. Revenue ($bn),14.138,14.78,15.633
International Revenue ($bn),18.515,21.146,24.367
